No.	Time	Source	Destination	Protocol	Length	Info
67	30.827440	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63587 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
68	30.827506	192.168.50.156	180.163.228.250	TCP	54	63587 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
69	30.837704	192.168.50.156	180.163.228.250	TCP	336	63587 ¡ú 80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=282 [TCP PDU reassembled in 71]
70	30.837858	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63587 [ACK] Seq=1 Ack=283 Win=64240 Len=0
71	30.837874	192.168.50.156	180.163.228.250	HTTP	848	POST /cloudquery.php HTTP/1.1 
72	30.838010	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63587 [ACK] Seq=1 Ack=1077 Win=64240 Len=0
73	30.872998	180.163.228.250	192.168.50.156	HTTP	620	HTTP/1.1 200 OK  (application/octet-stream)
74	30.873194	192.168.50.156	180.163.228.250	TCP	54	63587 ¡ú 80 [FIN, ACK] Seq=1077 Ack=567 Win=63674 Len=0
75	30.873353	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63587 [ACK] Seq=567 Ack=1078 Win=64239 Len=0
76	30.880865	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63587 [FIN, PSH, ACK] Seq=567 Ack=1078 Win=64239 Len=0
77	30.880899	192.168.50.156	180.163.228.250	TCP	54	63587 ¡ú 80 [ACK] Seq=1078 Ack=568 Win=63674 Len=0
78	31.026065	192.168.50.152	192.168.50.156	TCP	60	2485 ¡ú 40 [SYN] Seq=0 Win=512 Len=0
79	31.622117	192.168.50.156	192.168.50.2	NBNS	110	Refresh NB WIN-JFF05G84TMV<20>
80	32.026967	192.168.50.152	192.168.50.156	TCP	60	2486 ¡ú 41 [SYN] Seq=0 Win=512 Len=0
81	33.027870	192.168.50.152	192.168.50.156	TCP	60	2487 ¡ú 42 [SYN] Seq=0 Win=512 Len=0
82	33.123540	192.168.50.156	192.168.50.2	NBNS	110	Refresh NB WIN-JFF05G84TMV<20>
83	34.028528	192.168.50.152	192.168.50.156	TCP	60	2488 ¡ú 43 [SYN] Seq=0 Win=512 Len=0
